DataType,SortType,ArraySize,Threshold,Time_us
Random,Hybrid,5000,50,99.4
Random,Hybrid,5000,100,97.2
Reversed,Standard,5000,0,136.8
Reversed,Hybrid,5000,5,60.4
Reversed,Hybrid,5000,10,49.4
Reversed,Hybrid,5000,20,47.4
Reversed,Hybrid,5000,30,47.2
Reversed,Hybrid,5000,50,65
Reversed,Hybrid,5000,100,82
AlmostSorted,Standard,5000,0,188.2
AlmostSorted,Hybrid,5000,5,106
AlmostSorted,Hybrid,5000,10,81.4
AlmostSorted,Hybrid,5000,20,46.6
AlmostSorted,Hybrid,5000,30,37.2
AlmostSorted,Hybrid,5000,50,32
AlmostSorted,Hybrid,5000,100,28.2
Random,Standard,5500,0,311.2
Random,Hybrid,5500,5,191.4
Random,Hybrid,5500,10,164.8
Random,Hybrid,5500,20,141.4
Random,Hybrid,5500,30,135.2
Random,Hybrid,5500,50,117
Random,Hybrid,5500,100,115.2
Reversed,Standard,5500,0,151.2
Reversed,Hybrid,5500,5,71.4
Reversed,Hybrid,5500,10,61.2
Reversed,Hybrid,5500,20,53.4
Reversed,Hybrid,5500,30,53.2
Reversed,Hybrid,5500,50,68.2
Reversed,Hybrid,5500,100,95.4
AlmostSorted,Standard,5500,0,156.4
AlmostSorted,Hybrid,5500,5,72.8
AlmostSorted,Hybrid,5500,10,60
AlmostSorted,Hybrid,5500,20,49.2
AlmostSorted,Hybrid,5500,30,41.6
AlmostSorted,Hybrid,5500,50,36
AlmostSorted,Hybrid,5500,100,31.2
Random,Standard,6000,0,345.8
Random,Hybrid,6000,5,253.8
Random,Hybrid,6000,10,194.2
Random,Hybrid,6000,20,169.6
Random,Hybrid,6000,30,162.8
Random,Hybrid,6000,50,137.4
Random,Hybrid,6000,100,140.8
Reversed,Standard,6000,0,164.6
Reversed,Hybrid,6000,5,87.4
Reversed,Hybrid,6000,10,68.4
Reversed,Hybrid,6000,20,60.2
Reversed,Hybrid,6000,30,59.4
Reversed,Hybrid,6000,50,72.2
Reversed,Hybrid,6000,100,114.4
AlmostSorted,Standard,6000,0,169.4
AlmostSorted,Hybrid,6000,5,88.8
AlmostSorted,Hybrid,6000,10,67
